0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,569,16265,717,4006,8084,33124,1459,9873,28,3282,1099,4541,1223,718
15,368,18549,3,4245,7552,23839,1087,7662,39,2058,1309,2923,421,346
14,207,13240,4,4561,5261,21044,2891,8575,143,2532,1546,4083,615,426
13,146,9139,46,8555,6069,26940,3399,12073,186,3834,471,5412,857,554
12,125,8503,790,9876,7452,29236,3429,14279,129,7837,118,4522,961,763
11,153,8185,957,10655,7676,32076,4243,20430,111,10143,29,4763,1512,878
10,145,7835,852,9431,8020,38203,5727,25439,257,10598,9,5369,1259,1094
9,65,8797,952,8622,10035,39804,4963,27190,303,8489,78,6261,1207,1341
8,48,6333,686,7612,11491,42913,4590,29686,58,8157,20,5828,1010,1409
7,29,4739,607,6076,8626,34938,2372,20453,23,6377,3,3499,413,764
6,7,2325,108,2193,4804,8746,429,3799,7,1157,1,683,33,109
5,3,3525,220,5576,7929,8084,460,1987,2,650,1,403,31,80
4,23,3244,261,7234,5544,5212,216,2218,6,135,1,193,12,56
3,28,3130,198,5269,4391,3828,105,1479,1,143,0,89,5,54
2,110,3917,213,6806,3431,3074,82,1341,4,56,0,114,3,38
1,221,5565,17,8590,4170,3009,109,990,1,57,0,256,0,60
0,216,8589,0,11101,4558,5029,387,1266,0,42,0,378,1,91
