0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,1397,11112,2,20356,6738,24363,1176,8835,23,2909,1586,2678,733,1022
15,147,2457,1,2336,2359,8473,1697,4517,33,1386,722,1645,487,391
14,80,2160,40,4808,2825,12321,2036,7049,51,2332,253,2308,665,519
13,53,2702,584,6639,3738,15506,2344,9366,20,5729,61,2064,738,705
12,76,3162,783,8229,4495,20854,3129,15392,34,11757,31,2361,1296,918
11,96,4015,731,8063,5452,28683,4847,21883,153,16609,65,2958,1294,1186
10,58,5582,857,7129,7834,32705,4492,25378,222,15633,91,3681,1305,1530
9,77,4044,655,6786,9553,38015,4321,29180,58,16319,78,3515,1137,1667
8,61,3274,491,5091,7380,29321,3302,22199,44,11982,62,2798,875,1296
7,42,2260,315,3174,4838,19331,2160,14371,29,7436,42,1922,577,858
6,38,2046,274,2792,4274,17092,1906,12486,26,6343,35,1735,506,765
5,64,3667,468,4642,7348,29329,3270,21293,44,10228,61,3199,873,1333
4,56,3043,391,3780,6181,24701,2733,17758,37,7997,52,2759,728,1125
3,73,4297,516,5001,8181,32648,3587,23469,49,8255,69,3879,954,1454
2,77,4492,542,5298,8656,34505,3727,24650,51,7645,71,4432,979,1531
1,65,3990,487,5397,7793,30926,3287,22042,45,6260,61,4146,844,1367
0,56,3832,431,4740,6865,27740,2894,19620,40,5598,54,4070,752,1236
