0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,103,4244,82,34121,3568,19220,3055,8914,72,3902,306,2040,870,653
15,18,1408,439,4021,2413,9256,1607,4938,11,3363,28,881,351,274
14,30,1752,628,5444,3220,13856,2291,9326,21,6118,16,1048,697,394
13,42,2411,613,5617,4199,20690,3819,14889,104,8695,39,1324,800,584
12,30,3688,745,5468,6396,25407,3800,19290,169,8425,63,1779,925,883
11,46,3274,592,5045,8198,31866,3901,24303,50,9443,61,1758,902,1112
10,36,2544,401,3529,5774,22720,2716,17145,35,6681,45,1288,660,834
9,27,1664,246,2367,3662,14631,1705,10851,22,4175,30,870,427,553
8,23,1484,204,2067,3108,12488,1444,9214,19,3354,27,787,368,496
7,49,3067,401,4025,6126,24931,2869,18189,38,6342,52,1690,745,1013
6,44,2559,325,3268,5039,20456,2364,14812,31,4980,42,1475,617,855
5,64,3855,461,4646,7259,29322,3401,21249,47,6739,64,2433,900,1279
4,78,4215,522,5337,8272,33439,3835,24007,52,7499,73,2941,1021,1484
3,64,3848,425,4380,6740,27076,3081,19490,42,5281,58,2721,823,1184
2,56,3328,370,3928,5933,23774,2629,16944,35,4943,50,2814,692,1045
1,63,3993,451,4896,7210,28895,3082,20394,42,5735,58,3650,788,1268
0,40,2759,310,3413,4944,19976,2084,14128,29,4031,39,2931,541,890
