0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,176,3051,232,724,1885,370,262,881,19,352,66,713,294,296
15,88,1984,148,310,1481,240,196,659,9,257,18,480,133,89
14,156,3515,174,842,2671,551,319,1399,8,528,24,758,179,153
13,251,5167,280,2608,4030,2058,573,2810,16,839,51,1651,283,213
12,333,8006,381,5197,5687,4395,1114,4977,20,1382,116,2544,316,276
11,384,8041,581,4800,5620,6428,2012,5705,15,1646,190,2618,472,300
10,438,9141,489,5270,5273,11647,3334,7111,18,1814,596,3847,665,338
9,531,5798,417,6473,4561,15808,3004,8299,19,1800,817,4177,609,324
8,473,5553,482,9385,5259,21011,2994,9887,9,2882,817,5268,831,424
7,597,5197,1642,10715,6285,22782,3895,9500,10,3161,820,5821,989,539
6,1231,6504,3311,13241,9482,33387,2608,11696,7,4141,1010,4821,1210,640
5,1727,13327,96,12019,15318,37516,2256,15442,8,4345,1226,5346,1841,651
4,849,14214,11,4212,17692,37999,1971,20268,175,5431,1610,6955,2385,841
3,1912,21247,69,8544,20355,48085,965,20603,34,5579,2195,7522,1278,1036
2,2214,30811,2,14088,27166,63999,3202,25689,37,7561,3381,9857,1467,1504
1,686,17613,1,8974,13108,38607,6952,20257,35,8178,2804,9556,1805,1475
0,299,9485,75,11459,10306,36548,5290,19826,11,8264,660,9580,1753,1490
