0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,324,3605,147,4719,1411,6364,930,2688,4,1138,212,1719,518,321
15,89,1234,74,1358,992,4422,620,1764,1,519,135,1209,274,170
14,149,1713,664,2550,1841,7040,1296,2612,2,693,184,1823,393,292
13,321,2838,1850,4865,3631,14466,1250,4590,2,1464,458,2099,601,356
12,653,7080,254,6514,8122,22139,1508,8596,9,2471,754,3087,1063,474
11,415,9186,126,2917,11407,27082,1582,14723,124,4022,1265,4928,1734,733
10,1173,16215,59,6906,15280,38820,914,17466,36,5040,2197,6043,1175,968
9,1645,25015,2,12776,22699,54953,2923,23061,56,7801,3828,8537,1469,1478
8,567,15594,3,8814,12152,35799,6505,19805,146,8809,3360,9086,2019,1519
7,246,9539,85,12052,9545,36376,5566,20741,164,9606,829,9336,2018,1561
6,129,8679,981,12560,9033,34286,4830,19759,48,14106,146,6165,1660,1644
5,152,7739,1082,12171,8121,35862,5071,24669,61,18034,58,5560,2268,1683
4,161,7449,880,9947,7960,41048,6554,28568,221,18609,96,5560,1845,1767
3,83,8891,940,7704,9801,40803,5323,29161,274,11636,113,6185,1593,1949
2,96,5631,679,6642,10852,43255,4672,30901,65,9584,88,5556,1228,1920
1,70,4252,519,5750,8304,32955,3502,23487,48,6671,65,4417,899,1457
0,44,2990,336,3699,5357,21644,2258,15308,31,4368,42,3176,586,964
