year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2010,6,81,14326,18168,2682,14395,3931
2009,6,4,8355,5197,6456,13831,2505
2008,12,0,11011,8514,16308,16739,9269
2007,23,2,6494,5580,15613,14041,12436
2006,12,1,5004,4893,14754,15671,10864
2005,2,2,4916,4857,13508,15813,8892
2004,2,3,3081,1514,15604,10790,7338
2003,3,1,2379,472,15611,8676,5124
2002,2,3,1289,384,15180,9369,3685
2001,3,3,154,400,10358,7302,2762
2000,0,3,66,310,9055,5579,2080
1999,2,2,8,391,6131,3557,1441
1998,1,7,20,268,3820,2947,1505
1997,0,1,11,324,2558,1591,1030
1996,0,0,22,428,1713,1071,809
1995,0,0,34,283,986,639,613
1994,5,46,78,950,1258,1214,962
