year,emission
2001,889.2646436505586
2002,947.0334649244757
2003,998.9710007396453
2004,1068.2890386680629
2005,1186.8725586609619
2006,1377.7767543824182
2007,1588.9496323077406
2008,1886.3456824993882
2009,1859.536940388467
2010,1821.704007908235
2011,1854.8370017284237
2012,1869.8417122394862
2013,1909.0252926899477
2014,1942.23161954844
2015,1927.567181695131
2016,1875.3832319288144
2017,1846.6251532613023
2018,1832.265612636906
