year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2009,5,3,7850,3848,5619,11213,2159
2008,13,0,10401,7733,14848,14766,8796
2007,29,2,6244,5230,15334,13333,12533
2006,22,1,4661,4639,14223,14900,10956
2005,3,3,4671,4707,13126,15434,9007
2004,3,2,3010,1476,15371,10559,7552
2003,4,1,2340,444,15377,8719,5274
2002,3,3,1268,374,15244,9753,3894
2001,4,3,144,416,10552,7832,3027
2000,2,4,69,345,9865,6337,2349
1999,4,2,13,450,6946,4237,1646
1998,1,7,28,347,4687,3897,1937
1997,0,2,21,446,3415,2302,1398
1996,0,1,28,586,2066,1442,1063
1995,0,0,42,360,1284,884,859
1994,0,6,52,234,838,712,475
1993,5,55,66,1046,854,930,872
