year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2007,11,2,5838,4816,14324,11528,12218
2006,13,1,4088,4102,12643,11984,10422
2005,3,2,3945,3872,10523,11607,8297
2004,2,1,2589,1215,12665,8490,7075
2003,3,1,2176,392,13830,8029,5236
2002,0,2,1155,340,14076,9731,4035
2001,2,3,131,409,10181,8206,3221
2000,1,4,73,363,10700,7375,2808
1999,2,4,14,587,8206,5432,1992
1998,2,11,39,511,6167,5940,2457
1997,1,5,20,723,4979,3851,2083
1996,1,0,50,1176,3583,2819,1784
1995,0,1,95,794,2574,1903,1605
1994,0,26,117,610,1811,1543,998
1993,3,34,66,335,1009,957,619
1992,2,25,31,347,617,465,612
1991,3,61,43,1494,451,677,754
