year,emission
2001,889.2646436505586
2002,947.0334649244757
2003,998.9710007396453
2004,1068.2890386680629
2005,1186.8725586609619
2006,1377.7767543824182
2007,1588.9496323077406
2008,1770.4387969460358
2009,1934.6311755321003
2010,2146.101331660105
2011,2485.9921996751973
2012,2768.7615723634785
2013,3091.877361438124
2014,3445.6658669365524
2015,3726.903155612597
2016,3950.103824441865
2017,4206.220686438693
2018,4439.136465580353
