year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2008,5,0,10795,7086,13277,12932,7964
2007,20,3,5444,4591,13798,11349,11769
2006,19,1,3975,4097,12368,12449,10312
2005,3,3,4095,4162,11456,13320,8649
2004,3,3,2658,1310,14137,9665,7361
2003,5,1,2193,407,15053,8352,5448
2002,2,3,1201,359,14995,9782,4154
2001,2,3,128,408,10572,8100,3300
2000,3,1,69,350,10471,6870,2698
1999,3,2,11,547,7820,4913,1904
1998,0,10,34,438,5500,4744,2292
1997,0,2,18,559,4142,2912,1791
1996,0,1,33,839,2872,2096,1476
1995,0,0,65,551,1887,1367,1227
1994,0,15,69,393,1343,1102,724
1993,2,24,44,229,696,643,435
1992,7,61,49,1184,690,732,915
