year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2005,2,1,3695,3747,9417,10762,7510
2004,1,0,2363,1121,10562,7239,6268
2003,2,0,1981,318,10518,6962,4472
2002,0,0,1057,280,11400,9104,3400
2001,1,2,113,370,9026,7921,2819
2000,2,4,56,330,10483,7417,2563
1999,2,5,8,580,8313,5839,1807
1998,1,11,38,535,6588,6615,2253
1997,0,6,26,903,5714,4833,1882
1996,1,1,57,1712,4671,4171,1814
1995,0,3,147,1296,3867,3168,1775
1994,0,46,219,1251,3078,2766,1175
1993,0,72,118,810,1812,1798,748
1992,2,67,53,719,1212,882,772
1991,1,40,38,1184,439,611,399
1990,1,25,37,714,301,369,291
1989,1,53,32,906,249,459,401
