year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,1000000,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2015,14,322,20699,35999,136,18813,6294,,380520,7661523,498137321.1,862681896.1,3204704,502344726,156588426,,,,15%,12%,15%,17%,0%,9%,9%
2014,11,377,16010,29467,374,16402,6024,,277508,8743164.002,370790014,678073487.9,8570584,428403838,146178384,,,,11%,14%,11%,13%,0%,7%,8%
2013,6,504,11575,24964,373,15361,4979,,127848,11626021,271207940,585104066.1,8912896,407895994,122204576,,,,5%,18%,8%,11%,0%,7%,7%
2012,3,732,12904,31180,356,21715,5790,,69432,16731324,298106268,729860806.1,8540899.998,570083895,142480320,,,,3%,26%,9%,14%,0%,10%,8%
2011,12,895,17984,34349,460,27977,5316,,245436,17582275,379244024.1,746437570.1,10651868,704824561,119843904,,,,9%,27%,11%,14%,0%,12%,7%
2010,15,87,18812,30836,4075,26083,5674,,326010,1293603,392432226,646960555.9,101454931,654109474,130065102,,,,13%,2%,12%,12%,4%,11%,7%
2009,17,2,11160,12025,9838,23109,3973,,367625,41948,232144375,250282926,222862536,534441843,88911767,,,,14%,0%,7%,5%,8%,9%,5%
2008,12,1,14769,14773,24068,26263,9838,,236196,19683,318094635,316663435,548391536,599689342,214153584,,,,9%,0%,10%,6%,19%,10%,12%
2007,8,2,8106,6736,16110,14984,10622,,162512,40300,173435784,144058138,356437786,333828536,226248600,,,,6%,0%,5%,3%,12%,6%,12%
2006,10,1,6589,5427,15013,15948,8451,,221380,22138,137439634,114469687,324695576,346422456,175349799,,,,9%,0%,4%,2%,11%,6%,10%
2005,1,4,5971,4816,13681,15556,6348,,22163,88210,122947340,98712015.98,293005604.1,333660644,130362528,,,,1%,0%,4%,2%,10%,6%,7%
2004,1,0,3361,1405,15170,9512,4566,,0,0,56892139.02,22993117,277296112.1,174602272,79421004,,,,0%,0%,2%,0%,10%,3%,4%
2003,0,1,2320,462,13957,6187,2671,,0,20668,37276876.01,7751940,247225273,109887307,43801729,,,,0%,0%,1%,0%,9%,2%,2%
2002,2,6,1127,317,11820,5321,1650,,51564,25782,17365876,5218897.001,200681806,90467642,26096400,,,,2%,0%,1%,0%,7%,2%,1%
2001,2,2,139,191,6533,2917,926,,27138,13569,1827687,2974657.999,106982398,47856302,13711282,,,,1%,0%,0%,0%,4%,1%,1%
2000,3,2,54,129,4238,1873,532,,36795,58258,803956.9999,1915455.999,67273775.01,29872477,7724640,,,,1%,0%,0%,0%,2%,1%,0%
1999,4,12,50,724,4572,2636,1339,,46844,156948,639603,9526394.997,65589133.02,37937312,17955990,,,,2%,0%,0%,0%,2%,1%,1%
,,,,,,,,,2598971,64125414,3308785699,5223685047,2851777418,5906328621,1841098035,,,,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,2.598971,64.125414,3308.785699,5223.685047,2851.777418,5906.328621,1841.098035,,,,,,,,,,
