year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2004,23,0,2334,1086,10283,7268,5970
2003,5,0,1940,316,10308,6713,4375
2002,9,0,1024,279,10565,9168,3301
2001,6,2,106,357,8624,7920,2786
2000,3,4,54,323,10507,7583,2569
1999,5,6,8,593,8457,6051,1760
1998,1,15,40,553,6647,6907,2256
1997,3,9,31,942,5997,5165,1805
1996,2,1,67,1943,5287,4737,1806
1995,4,5,170,1603,4648,3966,1833
1994,1,57,257,1675,4036,3842,1267
1993,2,100,169,1266,2452,2593,842
1992,2,95,81,1053,1867,1298,892
1991,0,56,50,1496,608,837,489
1990,1,32,54,933,419,483,357
1989,0,54,26,523,174,302,245
1988,1,31,24,651,158,333,306
