year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2012,2,660,11488,23136,342,14756,4576
2011,5,860,15774,24881,405,18532,4386
2010,10,82,15279,21883,3144,18021,4532
2009,12,4,9498,7831,8114,17906,3209
2008,14,1,12884,11816,21384,22662,10160
2007,22,1,7323,6351,16105,15004,12227
2006,10,0,5886,5449,15225,16424,10366
2005,1,2,5679,5164,13915,16380,8349
2004,2,2,3463,1624,16173,11118,6673
2003,1,0,2551,535,15935,8536,4549
2002,2,5,1320,410,14761,8585,3056
2001,3,2,155,375,9538,5927,2070
2000,1,1,67,258,7379,4067,1381
1999,2,2,9,251,4540,2302,871
1998,1,5,12,170,2530,1714,926
1997,0,2,11,166,1449,865,553
1996,3,32,83,968,2171,1592,1218
