year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2011,7,837,15530,22978,396,16869,4126
2010,7,82,14845,20527,2864,16533,4231
2009,5,5,8716,6176,7163,15372,2809
2008,13,0,12100,10444,19245,19994,9835
2007,24,2,7031,6106,16036,14602,12390
2006,12,0,5616,5271,15241,16232,10820
2005,2,3,5391,5141,13861,16302,8873
2004,2,2,3386,1620,16211,11148,7202
2003,2,0,2551,550,16132,8831,4994
2002,0,5,1335,440,15475,9322,3602
2001,3,3,158,414,10217,6832,2555
2000,0,4,71,303,8507,4991,1845
1999,0,2,11,318,5402,2885,1169
1998,1,6,21,228,3328,2468,1256
1997,0,1,11,273,2161,1301,833
1996,0,0,18,281,1257,753,623
1995,5,36,86,984,1586,1331,1182
