year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2001,29,2,93,349,8401,8036,2879
2000,17,10,49,323,10565,7937,2646
1999,5,10,9,577,8527,6272,1721
1998,8,33,46,511,6699,7083,2170
1997,12,16,30,916,6205,5437,1719
1996,18,5,64,2095,5549,5053,1679
1995,7,13,165,1897,5410,4741,1828
1994,13,80,329,2315,5282,5455,1265
1993,11,182,270,2163,3729,4447,979
1992,6,194,152,1963,3573,2607,1029
1991,8,152,179,3103,2009,2101,745
1990,3,119,159,2797,1566,1482,589
1989,1,186,99,1897,829,1062,479
1988,2,86,49,1001,412,478,252
1987,1,35,18,634,193,280,183
1986,0,13,5,524,92,185,85
1985,2,8,23,566,80,218,172
