year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,1000000,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2017,19,429,30464,54909,1219,44972,11613,,485773,9691939.999,720268410,1294318063,29728589,1124255028,273590667,,,,0.163564173,0.126953818,0.15806171,0.170860926,0.012954753,0.154715653,0.137231565
2016,14,332,34252,58178,1857,43568,10122,,308042,7540099.001,789590013.9,1334898082,44396270.99,1070422192,234577350,,,,0.103720534,0.098767054,0.173274221,0.176217831,0.019346452,0.147307385,0.117662701
2015,18,373,25054,49133,1892,32113,8837,,446958,8412001.999,572355947,1123735720,45124711.99,788406263,205106770,,,,0.150494811,0.11018803,0.125602565,0.148342614,0.019663883,0.108497438,0.102880421
2014,21,427,20579,42285,3157,29763,8012,,553833,9551307.001,464091754.9,959518348,75148932,733390083,186631528,,,,0.186480592,0.12511168,0.101844167,0.126664533,0.032747462,0.100926323,0.093613342
2013,13,494,15916,33752,4191,25040,5876,,197756,10615312,344094001.9,759502703.9,98360949.01,606043120,133291184,,,,0.066586238,0.139048982,0.075510859,0.100260777,0.042862505,0.083401323,0.06685812
2012,11,674,14419,30274,4984,24278,5750,,227392,14327979,317197621.1,694423544,119288524,593985548,129720000,,,,0.076564948,0.187680861,0.069608493,0.091669778,0.051982062,0.081742007,0.065066834
2011,9,823,17700,28052,5826,24586,5268,,145206,15200810,345468054,562529445.9,127033303,543571874,108241596,,,,0.048892177,0.199113993,0.075812392,0.074258642,0.055356985,0.074804271,0.054293386
2010,5,72,16026,20774,7301,20601,4921,,96270,865368,317429005.9,414888478,162850321,460658961,105860552,,,,0.032414982,0.011335375,0.06965927,0.054768786,0.070964877,0.063394115,0.053099067
2009,5,3,9654,5684,11289,17607,3598,,126180,52974,190136996,113098615,242576351,379659741,73974880,,,,0.04248595,0.000693901,0.041725249,0.014929973,0.105706889,0.052247313,0.037105391
2008,9,1,10549,7074,16942,14935,7815,,160290,3709,212655894,142264584,361393384,318712900,158496015,,,,0.053971096,4.85838E-05,0.046666984,0.018780128,0.157483491,0.043860044,0.079500724
2007,6,1,6010,4193,15151,10349,8353,,127602,22874,120023950,82828976.98,320370437.9,220350908,165915639,,,,0.04296475,0.000299624,0.026339057,0.010934125,0.139607024,0.030323844,0.083222367
2006,5,1,3931,2646,11632,8191,5519,,80235,13998,68895399,45872332.01,216051245,152393555,98939113,,,,0.027015852,0.000183358,0.015118981,0.006055536,0.09414811,0.020971815,0.049627312
2005,0,3,3039,1875,7603,6429,3119,,0,43877.00001,51335052,31031820,137008995,116049879,54198863,,,,0,0.000574741,0.011265392,0.004096463,0.059704067,0.015970338,0.02718585
2004,0,0,1320,452,6322,3230,1881,,0,0,21248504.01,7200641.998,112103646,57497230,31916808,,,,0,0,0.004662949,0.000950546,0.048851125,0.007912548,0.016009294
2003,0,0,945,146,4638,1987,893,,0,0,14750099,2330674,79758948,34291646,14346045,,,,0,0,0.003236885,0.000307669,0.034756357,0.004719084,0.007195897
2002,1,0,388,117,3330,1753,480,,14386,0,6023780.002,1842426,54453030,28724658,7291200,,,,0.004843897,0,0.001321909,0.000243216,0.023728861,0.003952977,0.003657226
2001,3,9,94,357,4456,2452,795,,0,0,1316570,4987992.001,69154076.02,38175188,11544195,,,,0,0,0.000288919,0.000658457,0.030135099,0.005253523,0.005790504
,,,,,,,,,2969923,76342249,4556881053,7575272447,2294801714,7266588774,1993642405,,,,1,1,1,1,1,1,1
,,,,,,,,,2.969923,76.342249,4556.881053,7575.272447,2294.801714,7266.588774,1993.642405,,,,,,,,,,
