year,emission
2001,889.2646436505586
2002,947.0334649244757
2003,998.9710007396453
2004,1068.2890386680629
2005,1186.8725586609619
2006,1377.7767543824182
2007,1588.9496323077406
2008,1677.7147964315448
2009,1715.9027112580616
2010,1741.758685534947
2011,1852.8578744482206
2012,1936.0019888436566
2013,2049.3780685544284
2014,2176.348817630545
2015,2207.3911644869727
2016,2154.013736941477
2017,2183.1127092992756
2018,2186.1945451181973
