year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2002,32,0,998,272,10455,8813,3358
2001,3,1,100,354,8266,8088,2709
2000,4,7,51,313,10516,7907,2570
1999,1,6,5,584,8364,6129,1724
1998,0,22,41,532,6757,6976,2161
1997,0,14,29,936,6187,5433,1674
1996,4,1,71,2090,5682,5201,1721
1995,2,6,178,1916,5413,4747,1870
1994,2,72,345,2251,5198,5330,1312
1993,1,158,241,1968,3505,4058,990
1992,3,161,138,1779,3143,2303,1007
1991,1,110,130,2429,1323,1529,656
1990,2,69,111,1977,983,1008,480
1989,0,123,65,1170,467,641,390
1988,0,55,21,575,244,286,188
1987,0,18,11,364,89,158,133
1986,2,10,18,608,82,249,196
