year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2003,0,16,18,722,120,316,242
2002,0,36,16,411,159,202,150
2001,0,84,44,861,330,470,293
2000,1,44,85,1511,726,775,443
1999,0,84,89,2011,970,1227,572
1998,3,122,101,1297,2297,1639,921
1997,1,125,198,1596,2889,3189,894
1996,0,62,294,1933,4535,4475,1252
1995,0,5,174,1796,5025,4322,1845
1994,1,1,63,2039,5410,4913,1744
1993,2,11,29,935,6176,5312,1714
1992,2,17,41,547,6743,6955,2229
1991,1,5,5,584,8353,6040,1727
1990,4,5,53,303,10374,7569,2551
1989,2,2,101,359,8291,8021,2708
1988,6,0,1002,262,10474,9110,3288
1987,15,0,1904,300,10280,6676,4226
