year,emission
2001,4184.606443399349
2002,4325.510237981127
2003,4443.409571248755
2004,4553.9961840797305
2005,4704.40073197322
2006,4809.566516184598
2007,4864.983065618042
2008,4692.993209374806
2009,4370.58528076267
2010,3991.6354530779627
2011,3736.643897055564
2012,3465.009151326925
2013,3292.8321352442226
2014,3098.8515883661503
2015,2853.4471214564437
2016,2536.547596824046
2017,2261.9706768213778
2018,2010.0462983050666
