year,grams_CO2
2001,3621670454866.0537
2002,3750454682777.1567
2003,3866394564017.668
2004,3981328299277.775
2005,4140006542939.448
2006,4262777335475.707
2007,4346376129329.603
2008,4315919944082.311
2009,4164711526447.5293
2010,4045657152185.107
2011,4061346050992.607
2012,3992541227310.345
2013,3956963363632.587
2014,3850511850001.5737
2015,3721389322808.5254
2016,3560497993924.8735
2017,3298947356568.634
2018,3122352907842.448
