year,grams_CO2
2001,3621670454866.0537
2002,3750454682777.1567
2003,3866394564017.668
2004,3981328299277.775
2005,4140006542939.448
2006,4262777335475.707
2007,4346376129329.603
2008,4319201229592.5225
2009,4175821257116.475
2010,4058421066467.2905
2011,4094099931050.137
2012,4056227313163.2876
2013,4059951392017.7363
2014,4009183938410.746
2015,3931727004385.6255
2016,3824225032908.835
2017,3635169930356.556
2018,3518169072634.5034
