year,average mileage
2009,18444.0
2008,18116.0
2007,0.0
2006,18205.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,18173.0
2000,18173.0
1999,18173.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,0.0
