year,average mileage
2016,15427.0
2015,15275.0
2014,15267.0
2013,15871.0
2012,15098.0
2011,11156.0
2010,6337.0
2009,15220.0
2008,0.0
2007,15220.0
2006,15057.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,22244.0
2000,15220.0
