year,average mileage
2018,13725.0
2017,13494.0
2016,13564.0
2015,13737.0
2014,15041.0
2013,16577.0
2012,11929.0
2011,9944.0
2010,5087.0
2009,13540.0
2008,0.0
2007,0.0
2006,13475.0
2005,0.0
2004,0.0
2003,0.0
2002,9973.0
