year,average mileage
2008,17679.0
2007,0.0
2006,17590.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,16526.0
2000,11205.0
1999,11205.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,0.0
1992,0.0
