year,average mileage
2010,17713.0
2009,15457.0
2008,17517.0
2007,0.0
2006,17534.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,12158.0
2000,12158.0
1999,14721.0
1998,0.0
1997,0.0
1996,14721.0
1995,0.0
1994,0.0
