year,average mileage
2014,15094.0
2013,14876.0
2012,14891.0
2011,15222.0
2010,8627.0
2009,8234.0
2008,0.0
2007,14914.0
2006,15038.0
2005,22227.0
2004,0.0
2003,0.0
2002,0.0
2001,14914.0
2000,8729.0
1999,0.0
1998,8729.0
