year,average mileage
2017,14795.0
2016,14631.0
2015,14651.0
2014,14784.0
2013,16739.0
2012,14536.0
2011,10483.0
2010,7119.0
2009,14674.0
2008,14674.0
2007,0.0
2006,14782.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,13032.0
