year,average mileage
2013,15320.0
2012,15994.0
2011,16169.0
2010,15908.0
2009,9238.0
2008,0.0
2007,15935.0
2006,16147.0
2005,21245.0
2004,21245.0
2003,0.0
2002,0.0
2001,13334.0
2000,15919.0
1999,15919.0
1998,0.0
1997,15919.0
