year,average mileage
2011,17596.0
2010,17596.0
2009,14661.0
2008,17453.0
2007,0.0
2006,17615.0
2005,0.0
2004,0.0
2003,12187.0
2002,0.0
2001,11775.0
2000,11775.0
1999,11775.0
1998,0.0
1997,0.0
1996,11775.0
1995,11775.0
