year,average mileage
2006,17679.0
2005,17506.0
2004,0.0
2003,0.0
2002,0.0
2001,17665.0
2000,0.0
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
