year,average mileage
2012,17867.0
2011,17867.0
2010,17867.0
2009,10777.0
2008,0.0
2007,0.0
2006,17987.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,11090.0
2000,11090.0
1999,11090.0
1998,0.0
1997,0.0
1996,11090.0
