0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,2,2,2,1,1,1,13,28,633,249,995,1746,287,428
15,1,1,0,1,0,2,15,4,39,75,759,1476,205,259
14,0,0,0,1,1,168,32,1,57,158,1903,2714,399,476
13,1,1,0,0,4,450,102,4,100,243,3106,3170,788,868
12,2,0,0,1,27,412,414,399,135,324,4586,4723,1547,1680
11,2,0,0,2,91,767,784,2109,237,107,5628,8350,2440,2839
10,6,1,0,0,267,1002,875,2926,117,621,8696,9936,4139,4079
9,7,0,0,2,397,1564,1389,3817,139,2847,9619,10007,6104,4736
8,7,0,0,2,384,1472,1482,3547,130,2651,9151,8904,5693,4222
7,7,0,0,1,318,1356,1168,2691,96,1997,7026,6560,4350,3153
6,7,0,0,1,352,1552,1218,2729,100,2042,7002,6525,4415,3223
5,9,0,0,2,747,3378,2237,5403,200,3815,13722,12885,8778,6342
4,9,0,0,2,856,3090,2252,5201,185,3403,12679,12386,8504,6087
3,16,0,0,3,1395,4710,3318,7596,271,4731,18511,18343,12310,8956
2,21,0,0,4,1615,5625,3965,8572,310,5104,21975,21541,13967,10347
1,22,0,0,4,1890,5502,3907,8824,320,5181,22263,22344,13937,10409
0,22,0,0,4,2273,5509,4099,9477,324,5375,23775,23460,14072,10792
