0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,305,6658,144,11368,5813,19276,1132,8304,74,2028,683,2006,1071,466
15,263,3572,28,2716,4967,12745,360,5092,10,1348,553,1442,315,218
14,443,7654,2,6097,10174,23787,1461,9426,22,2808,1284,2638,523,433
13,185,6148,3,5180,6909,19364,3949,10588,73,5008,1484,3527,938,589
12,100,4751,68,8094,6538,23698,3943,13772,104,7119,463,4160,1165,768
11,63,5499,864,8830,7110,25928,3868,15622,36,12297,97,3215,1156,993
10,88,5365,1009,9464,6938,30002,4391,21421,51,16493,44,2859,1776,1154
9,106,5781,851,8826,7232,37083,6095,26687,199,15796,82,2901,1609,1342
8,62,6980,918,7984,9152,38008,5201,28148,260,11738,107,3242,1498,1632
7,82,5109,668,6703,10199,41519,4778,30291,64,10561,87,2814,1242,1687
6,57,3420,434,4367,6732,27337,3159,19794,42,6655,58,1970,825,1144
5,38,2178,260,2626,4101,16566,1922,12005,25,3808,36,1375,509,723
4,32,1761,219,2229,3456,13967,1601,10027,21,3133,31,1228,425,621
3,65,3912,431,4451,6849,27518,3131,19807,43,5366,59,2765,836,1204
2,54,3191,355,3766,5686,22789,2520,16242,34,4739,48,2697,664,1001
1,72,4621,522,5666,8342,33433,3566,23597,49,6636,66,4223,912,1467
0,77,5299,596,6555,9494,38361,4003,27132,56,7742,74,5629,1039,1709
