0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,250,3033,1236,18047,1933,10074,1738,3115,2,951,221,1731,520,430
15,146,1314,1310,3235,2075,8106,798,2345,1,779,216,1021,290,158
14,318,3775,199,5011,5497,14223,1070,5216,6,1383,413,1744,592,231
13,216,5408,105,2353,8554,19050,1213,10086,83,2897,786,3082,1098,403
12,693,10766,52,5385,12478,30106,754,13470,27,4045,1536,4160,842,616
11,1065,19297,2,9697,19922,46231,2574,19641,47,6848,2978,6285,1168,1082
10,401,13340,3,7187,11105,31915,5944,17756,130,8618,2808,6783,1720,1204
9,186,8267,83,11096,9039,34046,5222,19404,153,10125,739,6870,1792,1300
8,101,8028,965,11642,8674,32712,4611,19063,45,14056,132,4631,1522,1427
7,127,6896,1075,11504,7845,35087,4944,24220,59,16687,54,3995,2144,1495
6,139,6932,875,9506,7758,40436,6589,28409,219,14686,94,3835,1813,1615
5,78,8141,929,8061,9603,40074,5499,29153,277,10594,117,4501,1644,1889
4,101,5397,669,6830,10589,42805,4910,30730,66,9598,93,3765,1307,1901
3,66,3954,435,4498,6921,27810,3164,20019,43,5425,60,2795,845,1217
2,40,2344,261,2767,4177,16743,1851,11934,25,3482,35,1982,488,736
1,30,1948,221,2389,3517,14095,1503,9949,20,2798,28,1780,384,619
0,55,3796,427,4696,6802,27483,2868,19438,40,5546,53,4032,745,1225
