0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,12050,13174,18851,20270,24462,17609,18449,16129,19461,19749,21007,21571,20548,19746
15,12235,13376,19140,20581,24837,17878,18732,16376,19759,20052,21329,21901,20863,20049
14,12423,13581,19433,20897,25217,18153,19019,16627,20062,20360,21656,22237,21183,20356
13,12671,13852,19822,21315,25722,18516,19399,16960,20463,20767,22089,22682,21606,20549
12,12925,14129,20218,21741,26236,18886,19787,17299,20872,21182,22531,23136,22039,20745
11,13183,14412,20623,22176,26761,19264,20183,17645,21290,21606,22982,23598,22479,20942
10,13447,14700,21035,22619,27296,19649,20587,17998,21716,22038,23441,24070,22929,21143
9,13716,14994,21456,23072,27842,20042,20998,18358,22150,22479,23910,24552,23387,21346
8,13990,15294,21885,23533,28399,20443,21418,18725,22593,22928,24389,25043,23855,21552
7,14270,15600,22322,24004,28967,20852,21847,19099,23045,23387,24876,25544,24332,21760
6,14555,15912,22769,24484,29546,21269,22284,19481,23506,23855,25374,26054,24819,21971
5,14846,16230,23224,24974,30137,21694,22729,19871,23976,24332,25881,26576,25315,22185
4,15143,16555,23689,25473,30740,22128,23184,20268,24455,24818,26399,27107,25822,22402
3,15446,16886,24163,25983,31355,22570,23648,20674,24945,25315,26927,27649,26338,22621
2,15755,17223,24646,26502,31982,23022,24121,21087,25443,25821,27465,28202,26865,22844
1,16070,17568,25139,27032,32621,23482,24603,21509,25952,26337,28015,28766,27402,23069
0,16391,17919,25642,27573,33274,23952,25095,21939,26471,26864,28575,29342,27950,23298
