0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,11936,11936,12837,12837,11772,11772,12140,12140,13927,13927,14938,14938,14796,14796
15,12119,12119,13034,13034,11953,11953,12327,12327,14140,14140,15167,15167,15022,15022
14,12304,12304,13233,13233,12136,12136,12516,12516,14356,14356,15399,15399,15253,15253
13,12494,12494,13436,13436,12323,12323,12708,12708,14577,14577,15636,15636,15487,15487
12,12685,12685,13642,13642,12512,12512,12903,12903,14800,14800,15875,15875,15724,15724
11,12880,12880,13851,13851,12703,12703,13100,13100,15027,15027,16119,16119,15966,15966
10,13077,13077,14064,14064,12898,12898,13301,13301,15258,15258,16366,16366,16210,16210
9,17819,17819,22209,22209,18543,18543,21234,21234,22201,22201,23302,23302,21250,21250
8,24009,24009,22549,22549,19378,19378,20257,20257,21932,21932,23298,23298,21610,21610
7,30096,30096,21008,21008,21031,21031,20494,20494,22680,22680,23891,23891,22319,22319
6,23754,23754,24211,24211,21133,21133,20934,20934,22863,22863,23851,23851,22409,22409
5,29345,29345,21976,21976,23505,23505,23781,23781,25425,25425,25672,25672,23797,23797
4,29008,29008,26830,26830,26079,26079,25971,25971,26769,26769,27305,27305,24727,24727
3,28346,28346,24818,24818,25491,25491,25681,25681,25167,25167,26394,26394,24494,24494
2,26924,26924,30483,30483,25409,25409,25592,25592,25640,25640,26547,26547,24612,24612
1,28164,28164,23046,23046,25417,25417,25252,25252,26289,26289,26409,26409,24819,24819
0,28041,28041,27470,27470,25350,25350,25367,25367,26340,26340,26772,26772,25241,25241
