year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2005,10969.0,15210.615177368658,18200.582252623688,20233.48185483871,20186.655428894817,20811.0,19754.176751117735
2004,10754.0,14932.2375632579,17750.505971501523,19827.80642448705,19788.92443993443,20403.0,19420.748303013846
2003,10543.0,14627.455087896453,17314.724953355275,19436.497351199752,19403.576839282723,20002.0,18971.25909090909
2002,10337.0,14295.56201498228,16998.512356692732,19057.46008743921,19069.138521995414,19610.0,18647.25839025839
2001,10134.0,13943.904571150462,16589.826652016414,18687.31933690689,18814.205906040268,19226.0,18288.311768149884
2000,9935.0,13662.475431965442,15881.657567399623,18317.787991134395,18477.01333572004,18849.0,17882.06875
1999,9741.0,13388.461854144241,15505.104490034315,17958.53413891345,18093.34919445485,18479.0,17577.838954468803
1998,9550.0,13109.484034437664,15226.551902343403,17616.283335848297,17702.057744662558,18117.0,17345.631425800195
1997,9362.0,12926.705048423655,15014.70123856928,17260.099922376685,17345.802114803624,17762.0,17000.0764035458
1996,9179.0,12831.75343080992,14933.181401325237,16920.723656809663,16991.39323090626,17413.0,16632.10435301133
1995,8999.0,12540.357153295337,14828.176387348452,16589.577853203224,16656.09035532995,17072.0,16283.293856402664
1994,8822.0,12228.55047488495,14525.346761729072,16264.283586869497,16338.465517241379,16737.0,15991.12248995984
1993,8649.0,11954.060168643704,14260.06572287831,15946.706611570247,16035.741981468282,16409.0,15685.877400295421
1992,8480.0,11671.234336386102,13892.560784313726,15634.343378995434,15696.227922624053,16087.0,15347.1625
1991,8313.0,11467.459044963402,13232.303964023984,15326.495249406176,15338.681306306305,15772.0,15022.491416309012
1990,8150.0,11231.798906439853,12616.822073744122,15025.599708171207,15032.445880452342,15463.0,14693.397260273972
1989,7991.0,10997.58401880141,12037.51282051282,14737.49226006192,14735.659546061415,15159.0,14396.49947753396
