year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2017,13996,14418.38206,14383.58683,14868.90975,15573.00562,15197,13704
2016,13642,14009.11558,14151.88213,14667.08079,15152.28099,15050,13675
2015,13631,14035.35151,14249.13742,14804.95897,15127.59268,15154,12984
2014,13349,13822.97969,14011.71754,15051.50455,15140.9288,15079,13914
2013,13167,13562.69811,13360.69139,14402.23239,15895.97368,15414,13828
2012,13035,13805.47035,13646.53405,14167.4843,14913.69565,13820,13903
2011,9821,10580.09018,11317.52057,13248.96533,13403,13619,12933
2010,11625,11521.78576,12729.72962,15811.02527,15271.65938,13974,13758
2009,11707,12237.16221,13081.65764,14710.94562,14360.41741,13738,12870
2008,11543,12175.92302,14031.41366,15033.57448,14634.35566,14155,13720
2007,11374,11803.06283,13719.89576,14715.2787,14287.93775,13822,13128
2006,12661,13038.40301,14386.0657,14959.23257,14548.92145,14474,14119
2005,12765,12874.89382,13982.11343,14319.32938,13812.64778,13999,13829
2004,13142,13069.43208,14027.93515,14125.10051,13758.53923,13816,13566
2003,13866,13603.46504,14044.89069,14161.86138,13628.3452,13447,13388
2002,14123,13841.28253,13992.41558,13752.5559,13358.86457,13302,12998
2001,13356,13323.69279,13199.19412,13449.43875,12974.56445,12742,12692
