year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2013,13006.0,13273.98676072671,14012.253100905129,15035.744104803494,15248.0,14748.0,13584.0
2012,12521.0,12848.426704680447,14142.185680566483,15330.449177877428,15931.0,15021.0,13800.0
2011,12124.0,12472.534097532543,13910.055430418177,15097.053554040896,15631.989795918367,15146.0,13746.0
2010,12108.0,12261.268873593357,13896.316867469879,15346.226404800873,15760.301916932907,15324.0,14355.0
2009,11765.0,12026.904405086285,13610.939766257117,15144.156607285297,15866.6,15035.0,13772.0
2008,11794.0,12264.881798791326,14225.383406113537,15355.203012568358,15538.605348585563,14688.0,14158.0
2007,11976.0,12567.069751428768,14536.897148436185,15775.152466073012,15853.633578722394,15307.0,14890.0
2006,12036.0,12562.500242888756,14906.300921955402,15972.036425228749,16172.206098497312,15527.0,14664.0
2005,13063.0,13646.513614522157,15635.060289908595,16476.07177956539,16259.55519369215,15741.0,15436.0
2004,11412.0,12109.28995113455,14663.22075404101,15757.036850338953,16186.50071398572,15406.0,15267.0
2003,11810.0,12444.195994208494,14839.101418518932,16065.452708164916,15735.447148140938,14966.0,14931.0
2002,12344.0,12599.98101898102,13971.103238589778,14393.244691358024,14118.387736563209,14028.0,13500.0
2001,11932.0,12046.550298097853,13606.33012232416,14431.382813108119,13843.352153401309,13889.0,13450.0
2000,11946.0,11966.78075351793,13034.119835841313,13745.17017657541,13057.054168132254,13090.0,12885.0
1999,12320.0,12263.73215701824,13123.146514883583,13511.006671204901,13002.932275777914,12899.0,12070.0
1998,12223.0,12171.952131147542,13027.006395830866,13400.288394718555,12914.804336329984,12797.0,11975.0
1997,12126.0,12031.523010675519,12931.719670342989,13298.525172231055,12823.610190052568,12696.0,11880.0
