year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2010,14338.0,14605.476071103009,16676.697625077,18243.13015873016,18446.970930232557,17917.0,17299.0
2009,13788.0,14102.84046324746,16367.94175715696,17913.368087557603,18125.505069124425,17589.0,16570.0
2008,13798.0,14187.951043266192,16362.132261145789,17804.133454946954,17942.725806451614,17348.0,16463.0
2007,13350.0,13737.194009056078,16145.707909719398,17639.52305574673,17922.360686138156,17380.0,16489.0
2006,12832.0,13278.201763820176,15785.06538516253,17352.134044955354,17783.297142857144,17290.0,16428.0
2005,14248.0,14590.570349486676,17134.169885153704,18557.955847087036,18790.436489980606,18157.0,17023.0
2004,11082.0,11858.66591821135,14496.868231046932,15973.449071213807,16582.709440318504,16283.0,16323.0
2003,11651.0,12308.751171748108,14461.694633266197,16077.498879215973,16516.38260655334,16013.0,15714.0
2002,10903.0,11555.515242912163,14380.538217136882,15764.931919700159,15769.412177985949,15873.0,15419.0
2001,11356.0,11527.812889897108,14142.661688582139,15765.920587740453,15788.65045941807,15694.0,15307.0
2000,10722.0,10815.44093460021,13438.470150663237,15470.12325147653,14978.31033022862,14961.0,14834.0
1999,11401.0,11419.920930871776,12008.7276059615,12618.553669064748,12464.85737439222,12531.0,12233.0
1998,11311.0,11326.726233568299,11927.91582935266,12517.087114337568,12356.402578796562,12432.0,12136.0
1997,11222.0,11249.74399095108,11836.480027939058,12419.682191257874,12258.406015037594,12334.0,12040.0
1996,11133.0,11175.650946230098,11751.880802839978,12321.88555347092,12157.081670822943,12236.0,11945.0
1995,11045.0,11082.598662207358,11684.403856243442,12224.803667745415,12056.713793103449,12140.0,11851.0
1994,10958.0,10976.86301369863,11595.144196512281,12127.711207884484,11960.831105710815,12044.0,11757.0
