year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2006,10702.0,15040.963474938188,17821.288603246718,20015.64026517795,20274.108845021266,20898.0,20198.992273402673
2005,10492.0,14770.313929202592,17619.999363717347,19617.500267560914,19875.223381550866,20488.0,19604.006074631183
2004,10286.0,14498.292506999478,17184.35118206939,19215.370423753244,19484.283836753515,20087.0,19232.27544277029
2003,10085.0,14201.759610549892,16766.222662130116,18837.745614934865,19104.03993466721,19693.0,18839.387488328666
2002,9887.0,13883.631543862768,16462.261158272024,18479.168474051123,18750.116402678857,19307.0,18481.048295454544
2001,9693.0,13520.717582376483,16061.654869084712,18119.545070284086,18438.29034755678,18928.0,18121.813606972166
2000,9503.0,13244.046867886735,15367.263830819977,17753.13067677664,18091.972893136404,18557.0,17754.865548876936
1999,9317.0,12976.630377256073,15009.886201037381,17403.71625887924,17727.047200878154,18193.0,17415.424696356276
1998,9134.0,12700.236784695418,14742.226522502542,17082.394420444492,17360.530773574254,17836.0,17100.626553302813
1997,8955.0,12542.912709959,14533.475434151165,16726.66712224753,17016.979643765902,17487.0,16763.68187688334
1996,8779.0,12438.870567570535,14456.64607725134,16397.48909867386,16677.502125649506,17144.0,16426.701393095092
1995,8607.0,12163.16447368421,14347.066278065631,16075.671276937923,16344.689816621147,16808.0,16099.882165605095
1994,8438.0,11864.64003344082,14049.914228052472,15760.49034523113,16028.009081735621,16478.0,15788.056016597511
1993,8273.0,11587.398943918426,13777.786592479584,15453.469983324068,15719.341463414634,16155.0,15485.035772357724
1992,8111.0,11295.666159695818,13430.424416930608,15151.646924829158,15403.272727272728,15838.0,15168.263636363636
1991,7952.0,11100.256674082313,12813.467318579516,14854.04267265581,15081.244204018547,15528.0,14868.104712041884
1990,7796.0,10864.845879202618,12014.008847778001,14568.65561868687,14777.767045454546,15223.0,14567.107404393817
