year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2002,11672.0,15446.421713687616,18755.697683338447,21098.470786913345,20521.8068130883,21209.0,19806.095898859083
2001,11443.0,15161.616744395968,18385.296282407486,20686.43332347723,20301.603533054087,20793.0,19434.731707317074
2000,11218.0,14866.601924233313,17581.458242817935,20280.172160460235,19956.666971303235,20385.0,18957.352070010096
1999,10998.0,14579.379638312123,17156.38296952669,19882.318021030187,19539.751479289942,19985.0,18683.63872082973
1998,10783.0,14297.993111677604,16856.04084145538,19498.702783348825,19105.541684419826,19594.0,18624.679169249845
1997,10571.0,13997.440138353903,16611.87093846433,19109.398187702267,18723.223299228146,19209.0,18258.148876404495
1996,10364.0,13819.449210617626,16490.778811267235,18735.450397334018,18334.43137254902,18833.0,17766.75135135135
1995,10161.0,13507.800216474878,16394.975092530793,18367.777076761304,17983.732730469732,18463.0,17407.94502617801
1994,9962.0,13198.320363164721,16048.501264352106,18007.65844785772,17644.261692349282,18101.0,17089.145816733067
1993,9766.0,12948.970444514502,15780.2577760664,17655.621784082712,17375.85861673672,17746.0,16740.26688102894
1992,9575.0,12708.131812080537,15444.603683223067,17309.757329218683,16980.98174273859,17398.0,16426.33300099701
1991,9387.0,12465.597749962748,14803.437268847794,16970.78846153846,16529.375816993463,17057.0,16030.911917098445
1990,9203.0,12209.157317432273,14179.413272597356,16638.67760656394,16184.56875834446,16723.0,15607.364864864865
1989,9023.0,11978.54885164494,13678.709653205224,16313.714083510262,15850.441573033708,16395.0,15352.526209677419
1988,8951.0,11897.504965791217,13299.273086698673,16184.695806680882,15715.173913043478,16265.0,15188.409638554216
1987,8881.0,11822.18918918919,13192.458528951487,16061.70359281437,15608.054545454546,16137.0,15149.18018018018
1986,8810.0,11723.142500623908,13137.877234803338,15939.532222222222,15556.21052631579,16009.0,14894.22372881356
