year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2003,11480.0,15519.961630228368,18582.84414270959,20869.091468965886,20510.68567065411,21013.0,19634.206414193108
2002,11255.0,15172.278017927834,18243.11567016152,20460.152390780873,20160.099900431465,20601.0,19331.223300970873
2001,11035.0,14851.920186382084,17813.075874957525,20060.632049351534,19903.34964146319,20197.0,18968.153707052443
2000,10818.0,14558.497919742316,17049.330349082156,19667.28767772512,19560.103448275862,19801.0,18510.789057350034
1999,10606.0,14272.771262369617,16639.523515029483,19281.916111462335,19154.529292929292,19413.0,18229.350340136054
1998,10398.0,13986.726597405393,16341.278827226577,18913.734381890343,18735.8814229249,19032.0,18109.68014934661
1997,10194.0,13736.537941338365,16110.15937688332,18531.792420777525,18363.87001263766,18659.0,17760.187751813053
1996,9994.0,13603.791997515858,16005.110494870927,18167.928049215407,17985.868690931027,18293.0,17300.77257709251
1995,9798.0,13294.295250628065,15907.005321352324,17812.1654676259,17636.90257104195,17934.0,16960.673469387755
1994,9606.0,12977.612145864554,15583.30844058665,17463.308608058607,17298.752007411982,17583.0,16654.95965665236
1993,9418.0,12716.249191536543,15303.34580549369,17123.294048493754,17004.87453358209,17238.0,16312.255675029868
1992,9233.0,12452.39957428693,14951.785853750709,16787.45226130653,16640.68023887079,16900.0,15999.106557377048
1991,9052.0,12220.453821510297,14276.35229778601,16458.208531831962,16229.381333333333,16568.0,15609.932258064517
1990,8875.0,11968.185825574767,13664.17424683029,16135.409971583571,15896.971580817051,16244.0,15201.015873015873
1989,8701.0,11734.993290842,13165.649334178821,15821.409196470042,15572.659442724458,15925.0,14955.888888888889
1988,8632.0,11633.336855189558,12792.094758064517,15697.281800391389,15438.406483790524,15799.0,14851.274436090225
1987,8564.0,11560.82914137034,12711.217044366422,15586.401015228426,15353.959847036329,15674.0,14671.81259370315
