year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2011,12821.0,13177.750558306632,15301.442307692309,16854.52822371828,17105.082352941175,16776.0,15917.0
2010,12821.0,13145.384454475394,15315.243709752373,16854.152969406117,17108.396739130436,16776.0,15917.0
2009,12851.0,13197.513157894737,15293.08958068615,16552.315265486726,16742.493805309736,17021.0,15199.0
2008,12666.0,13133.165345821326,15277.072147836672,16544.144511483068,16678.953263748248,16579.0,15558.0
2007,12325.0,12822.691588785046,15172.430990771727,16654.30120363386,16817.5000591786,16642.0,15533.0
2006,12481.0,12960.036164029707,15444.813341885825,16886.968123924267,17196.91112065264,16845.0,15871.0
2005,13559.0,14171.179991494791,16874.632356166385,18241.4415709153,17933.734717416377,17612.0,16747.0
2004,11080.0,11858.534035423647,14521.652568163468,15999.124527350643,16511.889097891686,16140.0,16231.0
2003,11270.0,12150.532835049124,14535.023080356194,16114.770956884116,16363.856236061074,15596.0,15641.0
2002,10866.0,11546.307932158548,14423.871786365899,15776.973033468345,15703.352069251749,15776.0,15150.0
2001,10949.0,11202.040206407224,13930.499653739613,15487.062200073828,15347.902258099706,15572.0,14963.0
2000,10899.0,10928.480496242395,12773.83453156594,14213.863272178356,13480.771824202287,13554.0,13607.0
1999,10714.0,10693.223394156734,11854.572371385406,12950.047465808528,12516.373362445414,12534.0,12092.0
1998,10629.0,10611.458100558659,11786.366514096697,12844.32567823344,12414.392,12435.0,11996.0
1997,10545.0,10514.609096077316,11697.490661601772,12746.127962085307,12315.840635268347,12337.0,11902.0
1996,10462.0,10415.09681611436,11617.146239689471,12645.588207322871,12217.631772268136,12239.0,11808.0
1995,10379.0,10353.616304167359,11568.573817259688,12546.401942645698,12119.406542056075,12143.0,11714.0
