year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2015,13335,13860.45109,14290.41829,15911,17088,15463,13902
2014,13207,13584.75572,14075.01688,16053.4561,17495,15292,14355
2013,12955,13458.19093,14406.22985,16967.70483,18545,17047,14519
2012,12741,13214.76003,14123.28568,15946.8723,17237,14963,13194
2011,10217,11660.30571,11908.64892,14134.67896,15122.375,14768,14613
2010,11652,11784.44802,13253.50021,16751.69432,16445.3871,14747,14137
2009,11845,12416.02205,13631.27005,15755.72412,15605.43437,14951,14542
2008,11954,12746.22395,14761.27935,15850.19096,16019.62335,15219,15686
2007,11883,12612.35739,14565.58979,15745.7816,15632.92381,15194,15506
2006,12159,12794.27875,14716.78068,15769.48492,15808.64795,15335,15539
2005,11769,12442.69031,14437.86233,15258.01969,15061.76582,14786,14857
2004,12468,12701.4483,14174.77475,14611.14108,14268.73771,14177,14030
2003,12093,12353.96061,13674.35372,14282.7981,13707.37084,13732,13131
2002,11827,12092.20558,13332.37039,13701.13101,13435.55819,13318,12630
2001,11911,12044.57849,13033.78874,13585.48578,12954.24179,12953,12629
2000,11809,11847.94512,12694.32871,13134.1083,12544.22869,12510,12254
1999,11804,11781.7217,12089.38613,12296.81224,11809.26546,11604,11115
