year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2007,10511.0,15059.613212304588,17658.288454221576,19934.700930263243,20687.02857142857,21441.0,20416.154323001632
2006,10304.0,14750.61270736203,17382.403358636493,19583.889292196007,20281.213869154915,21021.0,20042.312609457094
2005,10102.0,14475.917487881532,17210.648950721716,19191.98702793179,19883.76070901034,20609.0,19683.53635585971
2004,9904.0,14204.624115148656,16768.624845750815,18787.30841764468,19493.446355817112,20204.0,19328.745840798565
2003,9710.0,13915.18111989819,16372.661954542666,18418.81147416797,19112.150889679717,19808.0,18914.666271487848
2002,9520.0,13608.45503021685,16083.62676522298,18086.726505909264,18744.544768509077,19420.0,18570.686422413793
2001,9333.0,13280.508903255075,15706.48302885704,17729.43191196699,18396.395604395606,19039.0,18210.005063965884
2000,9150.0,13010.21639847456,14997.403953680916,17356.38095432134,18041.332097412993,18666.0,17822.91133004926
1999,8971.0,12750.748374558303,14649.728696359569,17014.41204244301,17684.027932960893,18300.0,17494.092
1998,8795.0,12488.408266428783,14400.288894137097,16712.473158962548,17330.52767741003,17941.0,17215.70571337376
1997,8622.0,12304.200126293292,14200.079814727798,16349.08705077962,16990.067937033968,17589.0,16873.373626373625
1996,8453.0,12181.295598757932,14123.423482334569,16026.479784366576,16655.081689358154,17244.0,16516.247389033942
1995,8288.0,11910.229717306367,14023.362028237103,15712.745899937721,16324.831482375665,16906.0,16175.802992518704
1994,8125.0,11614.451682176092,13713.22528717036,15402.181988241582,16005.665813060179,16575.0,15879.272727272728
1993,7966.0,11354.510832383125,13456.034203420342,15104.133385951065,15692.67111111111,16250.0,15586.434065934065
1992,7809.0,11096.951778179626,13173.963575418995,14809.830744509909,15383.77331420373,15931.0,15241.79872881356
1991,7656.0,10894.928048942678,12230.86747929364,14527.483118172791,15074.831775700935,15619.0,14920.1625
