year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2008,13443.0,14045.108446519525,15941.352084629745,17252.579356818056,17956.875594713656,17604.0,17154.0
2007,13083.0,13602.406803574228,15773.64563097676,17149.471444161514,17956.18744394619,17655.0,16948.0
2006,12958.0,13489.89810298103,15749.092655900035,17157.673225685317,17902.42671657504,17635.0,16863.0
2005,12779.0,13424.096913977864,15823.300247262452,17180.70629132817,17883.666752378504,17398.0,16705.0
2004,12683.0,13309.56408129407,15649.745378444368,17031.283801352056,18158.07736665065,17583.0,17180.0
2003,12665.0,13328.42220908464,15409.08979582943,17062.83765752409,17864.765545109683,17267.0,16602.0
2002,11295.0,11982.604685632321,14687.815034104775,16270.965002726416,16349.669628855201,16088.0,15987.0
2001,11443.0,11670.655599324704,14417.963024343535,16155.33485865365,15987.116428511034,15718.0,15554.0
2000,11060.0,11311.018191306941,14081.941434688224,16159.114914112783,15619.081187105578,15627.0,15290.0
1999,10902.0,11017.39982867146,12883.622073578596,14586.473165953497,13995.534869763535,14051.0,13708.0
1998,10816.0,10909.13745318352,12821.364923747276,14467.273763002917,13879.158038932948,13940.0,13600.0
1997,10730.0,10905.642177152318,12734.253141324298,14357.239030505641,13767.788109442501,13830.0,13492.0
1996,10646.0,10906.495585303332,12661.074748701343,14244.676935440664,13657.522432432432,13721.0,13386.0
1995,10562.0,10802.098046353598,12667.199726011759,14131.510755992624,13546.705128205129,13612.0,13280.0
1994,10478.0,10673.906602870813,12525.814009863747,14020.687894736842,13441.20681114551,13505.0,13175.0
1993,10395.0,10535.721643163703,12461.638221153846,13909.091541135573,13334.934541792547,13398.0,13071.0
1992,10313.0,10410.503279490944,12419.277108433735,13798.455507156192,13222.955074875208,13292.0,12968.0
