year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2014,12781,13159.64361,13601.93522,15624,15638,14957,13441
2013,12317,12623.61812,13363.28316,15841.08525,15563,14671,13542
2012,12228,12292.60162,13562.42689,15926.87681,15757,14922,12830
2011,11579,11854.6516,13107.61681,15129.89772,15078.39091,14249,12387
2010,10518,10692.98105,12065.60763,15253.68074,14943.25079,14469,13372
2009,12013,12329.60893,13790.43319,15690.80615,15566.58054,14722,12952
2008,11572,12209.03877,14268.0049,15338.07197,15399.63498,14623,14505
2007,11716,12298.04973,14449.77118,15678.79026,15560.82472,15139,14701
2006,11393,11970.04016,14106.93651,15134.79982,15111.35012,14755,14178
2005,11438,12110.18871,14457.63001,15358.99222,15145.7027,14811,14670
2004,12059,12587.20571,15033.22835,15997.11565,15403.58127,15267,14644
2003,12290,12540.81116,13711.08241,14316.12485,13844.08748,13781,13013
2002,11507,11750.69332,13056.56584,13447.54981,13191.28769,13102,12494
2001,11673,11715.26424,12778.66815,13349.0445,12822.56308,12884,12740
2000,11313,11256.0455,12251.19483,12854.55038,12397.15965,12179,11992
1999,11095,11036.90732,11581.8158,11995.41004,11359.96372,11380,10793
1998,11095,11006.64535,11593.29415,11993.69054,11356.301,11380,10793
