year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2018,13198,13467.58766,13443.52652,13945.60223,14785.83544,14167,12300
2017,12744,13131.4807,13144.31057,13649.434,14910.56487,14111,12079
2016,12723,13109.12147,13156.3948,13876.13657,14875.10978,14053,12179
2015,12609,13055.17855,13026.07674,13645.38342,15100.91005,14572,12718
2014,12545,13140.24559,12489.78336,13150.69417,14426.88889,13748,12681
2013,12572,13026.40648,12735.01423,13539.93124,14878.75325,12776,12117
2012,11174,11580.00654,11995.28248,12905.97431,13852.01347,12276,12982
2011,9444,10285.87223,10823.57237,12395.9389,12846.34386,12556,11974
2010,9856,9823.631091,10841.36227,13472.73845,13537.05204,12878,12378
2009,11433,11752.89713,12750.16193,14150.50175,13936.23902,13026,13082
2008,10898,11384.47829,13062.49605,14007.61214,13577.80457,12816,12338
2007,11560,11981.95728,13446.0997,14156.10088,13642.57455,13266,13034
2006,11300,11578.55846,12885.19182,13424.69119,12876.76716,13050,12404
2005,12089,12186.3779,13222.39466,13524.79706,13097.79554,13079,12507
2004,12284,12157.92133,13159.32767,13223.07184,12883.69751,12970,12472
2003,12837,12644.59155,13067.39714,13057.90168,12554.20279,12773,12308
2002,13165,13027.77289,12926.98803,12886.84099,12242.16925,12436,12748
