year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2016,13431,14063.5273,14298.48738,15051.85472,15616,15945,14153
2015,13210,13924.63839,14143.89182,15042.80685,14795,15848,13947
2014,13171,13867.64755,14301.34824,15718.32599,16073,16579,14406
2013,12656,13492.55656,13890.75911,15560.55922,17904,16191,13888
2012,12974,13896.61236,13845.27231,14985.81168,14836,14672,14489
2011,10157,11688.46433,11846.47604,13722.33721,14342,14566,14173
2010,11533,11643.11653,12960.23674,16389.70912,15498.05075,14863,13678
2009,12130,12620.03462,13714.74363,15484.48732,15716.23976,14826,13855
2008,11944,12670.86992,14621.72023,15736.86897,15626.79407,15192,15074
2007,11640,12298.01504,14304.11678,15424.43694,15137.37634,14825,14486
2006,13102,13703.79487,15446.25407,16330.52294,16194.93673,15933,16136
2005,12915,13119.99069,14370.30238,14815.21577,14354.68897,14082,14167
2004,12120,12330.59675,13846.19532,14265.95771,13912.10327,13957,13541
2003,12094,12366.21573,13546.51068,14114.40593,13617.56535,13437,12883
2002,11933,12149.93273,13373.59972,13718.73379,13209.66203,13114,12920
2001,12045,12177.093,12879.24115,13383.84185,12945.03818,12800,12643
2000,12085,12099.08654,12656.17573,12961.27473,12648.40335,12360,11802
