0,1,,
16,3,,
15,1,,
14,1,,
13,0,,
12,0,,
11,0,,
10,1,,
9,2,,
8,1,,
7,0,,
6,1,,
5,17,,
4,95,,
3,175,,
2,87,,
1,234,,
0,465,,
,,,
,,,
