year,<1300cc,1300cc - 1900cc,>1900cc
2018.0,3.886,3.983333333333333,5.723333333333334
2017.0,3.94,3.5233333333333334,5.82
2016.0,4.072,3.653333333333333,5.82
2015.0,3.7659999999999996,3.648333333333333,5.903333333333333
2014.0,3.9799999999999995,3.6583333333333337,6.263333333333333
2013.0,4.3740000000000006,4.286666666666667,6.27
2012.0,3.9859999999999998,4.213333333333334,6.55
2011.0,3.732,4.136666666666667,6.6066666666666665
2010.0,4.029999999999999,4.146666666666667,6.890000000000001
2009.0,4.72,4.205000000000001,7.073333333333333
2008.0,4.8,4.346666666666667,7.523333333333333
2007.0,4.79,4.438333333333333,7.783333333333332
2006.0,4.88,4.421666666666667,7.626666666666666
2005.0,5.792000000000001,4.408333333333333,7.346666666666667
2004.0,4.8,4.265,7.323333333333333
2003.0,4.85,4.5183333333333335,7.913333333333333
2002.0,4.85,4.213333333333333,7.52
2001.0,4.85,4.281666666666666,7.956666666666667
2000.0,5.081999999999999,4.3533333333333335,7.63
1999.0,5.109999999999999,4.3549999999999995,7.8566666666666665
1998.0,5.148,4.345,7.876666666666666
1997.0,5.18,4.338333333333333,7.903333333333333
1996.0,5.112,4.328333333333333,7.966666666666666
1995.0,5.142,4.333333333333333,8.033333333333333
1994.0,5.178,4.3149999999999995,8.053333333333333
1993.0,5.218,4.326666666666667,8.106666666666667
1992.0,5.258,4.331666666666667,8.123333333333333
1991.0,5.276,4.326666666666667,8.156666666666666
1990.0,5.294,4.324999999999999,8.19
