year,electric_passenger_km
2001,0.0
2002,0.0
2003,565239.0
2004,4426198.0
2005,9525508.0
2006,20616884.0
2007,39163675.0
2008,60592256.0
2009,73842762.0
2010,90235482.0
2011,101220024.0
2012,132652109.0
2013,116713683.0
2014,133293917.0
2015,162705393.0
2016,202000218.0
2017,298864147.0
2018,412781948.0
