year,no_on_road,with_on_road_factor
2001,560987139,560987139
2002,589274181,589274181
2003,613217199,613217199
2004,643806140,643806140
2005,671920921,671920921
2006,708833094,708833094
2007,738595557,738595557
2008,738150718,738150718
2009,717687209,717687209
2010,685388974,685388974
2011,635322317,635322317
2012,592064644,592064644
2013,559258930,559258930
2014,527946995,527946995
2015,495253305,495253305
2016,453021971,453021971
2017,439662830,439662830
2018,405856095,405856095
