year,emission,consumption in MJ,consumption in liters
2001,3882.0048580672124,55479227824.70016,1643415534.71334
2002,4025.550285506375,57530690860.750084,1704184336.9213922
2003,4132.756827122479,59062820871.93697,1749569364.0804045
2004,4256.298436047269,60828401626.71762,1801869710.6058774
2005,4353.1089024228295,62211957319.26233,1842853642.9247172
2006,4521.293096678339,64615542469.400665,1914053068.9013176
2007,4691.416628490991,67046843440.12534,1986073497.8351476
2008,4140.647150385466,59175584523.17459,1752909668.9739857
2009,4191.798695803092,59906610976.14575,1774564264.3280385
2010,3701.565936735491,52900505646.08085,1567028168.5905893
2011,3435.0535685669734,49091674659.94879,1454202301.0156975
2012,2869.9948932615625,41016203317.751595,1214989255.4442396
2013,3051.35066188901,43608028514.49162,1291764761.4956727
2014,2778.5988619310606,39710027403.540375,1176297480.6548402
2015,2691.4404954582233,38464413591.30452,1139399687.2005033
2016,2511.855590305699,35897896487.1001,1063373861.9585876
2017,2282.9704706035423,32626811012.99227,966477187.3958141
2018,1980.3581186070548,28302061242.498608,838368682.0100757
