year,grams_CO2
2001,873728612429.0701
2002,927118523879.131
2003,965076770595.2499
2004,1036320886539.3003
2005,1147605455834.46
2006,1325618456019.37
2007,1521002789487.5798
2008,1657433116073.6602
2009,1748152006406.7283
2010,1839090554859.9495
2011,2035069893287.701
2012,2198590044192.6494
2013,2393381188335.8984
2014,2627303932914.66
2015,2732323132823.1123
2016,2760035423471.6216
2017,2883999550824.73
2018,2984339324456.3984
