year,electric_passenger_km
2001,0.0
2002,17665.0
2003,17679.0
2004,17679.0
2005,31226.0
2006,52850.0
2007,70453.0
2008,180190.0
2009,237554.0
2010,606092.0
2011,1370622.0
2012,4054688.0
2013,4105503.0
2014,7825666.0
2015,16281443.0
2016,24853198.0
2017,39747301.0
2018,61724141.0
