year,grams_CO2
2001,3353398569320.421
2002,3472643224793.66
2003,3579732589307.6416
2004,3685924545157.7983
2005,3831510865138.6724
2006,3942952155114.59
2007,4017571556264.133
2008,3983267473887.491
2009,3832085539273.1523
2010,3702912748927.979
2011,3689895663375.3213
2012,3593477236331.163
2013,3524992061174.922
2014,3396806064360.79
2015,3241133145668.4004
2016,3062386255729.658
2017,2820425540450.611
2018,2633792352561.3687
