year,<1300cc,1300cc - 1900cc,>1900cc
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
