year,electric_passenger_km
2001,20379511457.0
2002,21118450168.0
2003,21704735401.0
2004,22381530268.0
2005,22953391260.0
2006,23889013161.0
2007,24846356186.0
2008,22461006402.0
2009,23065446412.0
2010,21407237874.0
2011,20830832296.0
2012,17396399435.0
2013,20258328962.0
2014,19822857888.0
2015,20984845462.0
2016,22657858909.0
2017,22516809402.0
2018,20825506015.0
